"subject","bis_data_m_overall","bis_data_m_NonPlanning_SelfControl","bis_data_m_NonPlanning_CognitiveComplexity","bis_data_m_Attentional_Attention","bis_data_m_Motor_Perseverance","bis_data_m_Motor_Motor","bis_data_m_Attentional_CognitiveInstability","pss_data_m_overall","rfs_data_m_overall","rfs_data_m_Fat","rfs_data_m_Fruits_and_Vegetables","tfeq_data_m_overall","tfeq_data_m_Uncontrolled_Eating_Scale","tfeq_data_m_Emotional_Eating_Scale","tfeq_data_m_Cognitive_Restraint_Scale"
101,2.4,2.83333333333333,2.8,2.4,2,2,2.33333333333333,2.6,1.2962962962963,0.764705882352941,2.2,1.88888888888889,2,2.33333333333333,1.5
102,2.13333333333333,2,1,3,2,2.42857142857143,2.33333333333333,3.1,0.740740740740741,0.529411764705882,1.1,2.16666666666667,1.77777777777778,3.33333333333333,2.16666666666667
103,2,1.66666666666667,2.8,1.2,2,2,2.66666666666667,2.3,0.555555555555556,0.294117647058824,1,2.27777777777778,2.11111111111111,2,2.66666666666667
104,2.4,2.33333333333333,3.2,2.4,1.75,2.57142857142857,1.66666666666667,2.1,1.03703703703704,0.705882352941177,1.6,1.44444444444444,1.44444444444444,1.66666666666667,1.33333333333333
106,1.86666666666667,1.5,2.8,1.6,2,1.71428571428571,1.66666666666667,2,2,1.76470588235294,2.4,2.77777777777778,2.66666666666667,2.66666666666667,3
107,2.36666666666667,3,1.8,2.4,2,2.57142857142857,2,2.5,NA,NA,NA,2.27777777777778,2.55555555555556,2.66666666666667,1.66666666666667
108,2.33333333333333,2.33333333333333,1.8,3.4,1.5,2.28571428571429,2.66666666666667,2.6,1.85185185185185,1.52941176470588,2.4,3,3.55555555555556,4,1.66666666666667
109,1.8,1.5,1.4,2.2,2,1.57142857142857,2.66666666666667,0.7,1.18518518518519,0.588235294117647,2.2,2.55555555555556,2.55555555555556,2,2.83333333333333
110,2.46666666666667,2,2.2,2.6,1.75,3.14285714285714,3,2.6,1.4320987654321,1.29411764705882,1.66666666666667,2.77777777777778,2.44444444444444,2.66666666666667,3.33333333333333
111,1.83333333333333,1.66666666666667,2.2,1.2,1.75,2.28571428571429,1.66666666666667,1.1,1.33333333333333,1.47058823529412,1.1,1.94444444444444,1.88888888888889,2,2
112,1.7,1.33333333333333,2.2,1,1.75,2.14285714285714,1.66666666666667,1.7,1.33333333333333,1.11764705882353,1.7,2.05555555555556,2.11111111111111,1.66666666666667,2.16666666666667
114,1.75,1.5,2,1.5,2,2,1.33333333333333,2,1.14814814814815,0.470588235294118,2.3,2.05555555555556,2,1.33333333333333,2.5
116,1.83333333333333,1.83333333333333,2.2,1.8,1.25,2.14285714285714,1.33333333333333,2.62222222222222,1.2962962962963,1,1.8,2.38888888888889,2.55555555555556,3,1.83333333333333
119,2.56666666666667,2.66666666666667,2.8,3,1.5,2.71428571428571,2.33333333333333,2.2,1.55555555555556,1.11764705882353,2.3,3.11111111111111,3,3.66666666666667,3
120,2.06666666666667,2.33333333333333,2.2,2.2,1.75,1.85714285714286,2,1.9,1.25925925925926,0.941176470588235,1.8,2.61111111111111,2.66666666666667,1.66666666666667,3
121,2.03333333333333,2.33333333333333,1.6,3,1.5,1.28571428571429,3,3.3,1.14814814814815,1.23529411764706,1,1.72222222222222,1.66666666666667,1.66666666666667,1.83333333333333
123,1.6,1.33333333333333,2.2,1.6,1.25,1.85714285714286,1,1.51111111111111,1.07407407407407,0.647058823529412,1.8,2.2,1.88888888888889,2.33333333333333,2.6
124,1.9,1.5,2,1.8,2,1.71428571428571,3,2,1.85185185185185,1.94117647058824,1.7,1.61111111111111,1.88888888888889,1,1.5
125,2.06666666666667,1.83333333333333,1.8,2.6,1.75,2.14285714285714,2.33333333333333,1.9,1.74074074074074,1.82352941176471,1.6,2.77777777777778,3.77777777777778,2.33333333333333,1.5
126,1.3,1.5,1.4,1,1.25,1.28571428571429,1.33333333333333,1.51111111111111,1.14814814814815,0.235294117647059,2.7,1.33333333333333,1.44444444444444,1,1.33333333333333
129,1.83333333333333,1.66666666666667,1.6,1.6,1.75,2.28571428571429,2,2.2,1.40740740740741,1.29411764705882,1.6,2.11111111111111,2.55555555555556,1.66666666666667,1.66666666666667
130,2.06666666666667,1.83333333333333,2,2.8,1.75,1.85714285714286,2.33333333333333,2.4,1.03703703703704,0.941176470588235,1.2,2.27777777777778,2.55555555555556,3,1.5
131,1.71666666666667,2,2,1.5,1.25,1.85714285714286,1.33333333333333,2.5,1.18518518518519,1.05882352941176,1.4,2.05555555555556,2,1.33333333333333,2.5
132,1.56666666666667,1.5,1.8,1.8,1.25,1.57142857142857,1.33333333333333,1.6,1.48148148148148,1.47058823529412,1.5,2.38888888888889,2.55555555555556,2.33333333333333,2.16666666666667
133,1.93333333333333,2.33333333333333,1.8,1.8,1.75,1.71428571428571,2.33333333333333,2.8,0.842592592592593,0.75,1,2.33333333333333,2,3,2.5
134,1.66666666666667,1.66666666666667,1.8,1.8,1,1.57142857142857,2.33333333333333,2.4,1.11111111111111,1,1.3,1.66666666666667,2.33333333333333,1,1
135,2.1,1.66666666666667,1.2,2.2,2.5,2.14285714285714,3.66666666666667,2.1,1.2962962962963,1.23529411764706,1.4,2.44444444444444,2.44444444444444,1,3.16666666666667
136,1.77777777777778,1.83333333333333,2,1.8,1.33333333333333,2,1.33333333333333,1.5,1.18287037037037,0.9375,1.6,2.51388888888889,2.25,2.66666666666667,2.83333333333333
137,1.86666666666667,1.66666666666667,2.6,1.4,2.25,1.71428571428571,1.66666666666667,2.2,1,0.647058823529412,1.6,2.16666666666667,2,2.33333333333333,2.33333333333333
139,1.98666666666667,1.6,2.6,2,1.5,2.28571428571429,1.66666666666667,2.3,NA,NA,NA,2.44444444444444,2.66666666666667,2.66666666666667,2
140,2.2,2,2.4,3,2.25,1.71428571428571,2,3.1,1.59259259259259,1.11764705882353,2.4,2.83333333333333,2.77777777777778,3.33333333333333,2.66666666666667
142,2.31666666666667,2,2.2,2.4,1.25,3.14285714285714,2.5,2.4,NA,NA,NA,2.55555555555556,2.88888888888889,3.33333333333333,1.66666666666667
143,1.8,1.16666666666667,1.6,2,1.25,2.28571428571429,2.66666666666667,1.6,1.22222222222222,0.764705882352941,2,2.38888888888889,1.55555555555556,2.33333333333333,3.66666666666667
144,2.6,2.5,2.4,3,1.75,2.71428571428571,3.33333333333333,3.5,0.851851851851852,0.705882352941177,1.1,2.61111111111111,2.77777777777778,4,1.66666666666667
145,1.54444444444444,1.5,1.8,1.2,1.33333333333333,1.71428571428571,1.66666666666667,1.2,1.11111111111111,0.941176470588235,1.4,2.11111111111111,2.44444444444444,2,1.66666666666667
146,1.8,1.83333333333333,1.6,2.2,1,2,2,1.3,0.814814814814815,0.588235294117647,1.2,2,2.11111111111111,1.33333333333333,2.16666666666667
147,2.83333333333333,3.16666666666667,2.4,3.6,2.25,2.71428571428571,2.66666666666667,2.2,0.962962962962963,1.17647058823529,0.6,2.61111111111111,2.77777777777778,2.66666666666667,2.33333333333333
148,2.16666666666667,2.66666666666667,2.6,1.8,1.5,2.42857142857143,1.33333333333333,1.5,1,1.17647058823529,0.7,1.66666666666667,2,1.66666666666667,1.16666666666667
150,2.3,2,3,1.8,2.25,2.42857142857143,2.33333333333333,3.2,2.7037037037037,3.11764705882353,2,2.3,2.33333333333333,2,2.4
152,1.9,2,1.6,1.8,2,1.85714285714286,2.33333333333333,2.4,1.54320987654321,1.47058823529412,1.66666666666667,2.16666666666667,2,3,2
153,2.26666666666667,2.5,2,2.2,2.5,2.28571428571429,2,2.2,2.03703703703704,2,2.1,2.16666666666667,2.33333333333333,2,2
154,2.3,3,2,3.4,1.5,1.57142857142857,2.33333333333333,2.4,1.62962962962963,1.47058823529412,1.9,2.22222222222222,2.22222222222222,2,2.33333333333333
155,2.4,2.66666666666667,1.6,1.8,2.5,2.71428571428571,3.33333333333333,1.5,1.07407407407407,1.17647058823529,0.9,2.55555555555556,2.55555555555556,2.66666666666667,2.5
156,2.46666666666667,2,2.2,3,2.5,2.57142857142857,2.66666666666667,2.3,1.88888888888889,2.35294117647059,1.1,2.88888888888889,2.88888888888889,2.66666666666667,3
157,2.63333333333333,2.83333333333333,3.2,2.4,2.25,2.42857142857143,2.66666666666667,3.2,1.11111111111111,1.47058823529412,0.5,2.44444444444444,2.44444444444444,3,2.16666666666667
158,1.96666666666667,2.33333333333333,1.8,1.8,2,1.85714285714286,2,2.5,1.37037037037037,1.11764705882353,1.8,2.27777777777778,2.33333333333333,2.33333333333333,2.16666666666667
162,2.16666666666667,2,2.8,2.4,1.25,2.57142857142857,1.33333333333333,2.5,1.7037037037037,1.76470588235294,1.6,2.33333333333333,3,1.33333333333333,1.83333333333333
163,2.16666666666667,2.33333333333333,2.8,2.2,2,2.14285714285714,1,1.6,2.55555555555556,2.58823529411765,2.5,2.33333333333333,2,2,3
164,1.9,2,1.8,2.2,1.25,1.71428571428571,2.66666666666667,2,1.14814814814815,0.823529411764706,1.7,2.33333333333333,2.44444444444444,2.33333333333333,2.16666666666667
